ID_GGPLAN,BAIRRO,N_TOTAL_POPULACAO
13,BOA VIAGEM,114491
92,VARZEA,62249
30,COHAB,60032
50,IMBIRIBEIRA,48653
52,IPUTINGA,42818
46,IBURA,37978
90,TORROES,33496
71,PINA,33293
93,VASCO DA GAMA,30533
32,CORDEIRO,29661
37,DOIS UNIDOS,29291
11,BARRO,28510
54,JARDIM SAO PAULO,28128
9,AREIAS,25269
51,IPSEP,25252
56,JORDAO,24583
24,CAMPO GRANDE,24426
3,AGUA FRIA,23846
2,AFOGADOS,23732
58,MACAXEIRA,22550
81,SANTO AMARO,21607
88,TORRE,21168
68,PASSARINHO,19936
25,CASA AMARELA,19071
17,BRASILIA TEIMOSA,18172
39,ENGENHO DO MEIO,18114
78,SAN MARTIN,17851
59,MADALENA,17648
18,BREJO DA GUABIRABA,17608
63,MORRO DA CONCEICAO,16757
79,SANCHO,16432
27,CAXANGA,15601
64,MUSTARDINHA,14618
21,CACOTE,14176
40,ESPINHEIRO,13917
49,ILHA JOANA BEZERRA,13114
75,PRADO,13037
7,ALTO SANTA TEREZINHA,12962
41,ESTANCIA,12711
61,MANGUEIRA,12328
84,SITIO DOS PINTOS,12213
1,AFLITOS,11816
60,MANGABEIRA,11654
65,NOVA DESCOBERTA,11284
26,CASA FORTE,10983
10,ARRUDA,10869
87,TEJIPIO,10844
57,LINHA DO TIRO,10779
4,ALTO DO MANDU,10722
5,ALTO JOSE BONIFACIO,10603
77,ROSARINHO,9960
33,CORREGO DO JENIPAPO,9897
15,BOMBA DO HEMETERIO,9872
55,JIQUIA,9754
43,GRACAS,9621
74,PORTO DA MADEIRA,9602
6,ALTO JOSE DO PINHO,9522
12,BEBERIBE,9434
62,MONTEIRO,9394
19,BREJO DE BEBERIBE,9282
42,FUNDAO,9221
34,CURADO,9076
94,ZUMBI,8817
28,CIDADE UNIVERSITARIA,8664
89,TORREAO,8607
16,BONGI,8593
31,COQUEIRAL,8558
73,PONTO DE PARADA,8168
91,TOTO,8071
80,SANTANA,7824
53,JAQUEIRA,7714
86,TAMARINEIRA,7590
44,GUABIRABA,7221
23,CAMPINA DO BARRETO,6929
38,ENCRUZILHADA,6889
67,PARNAMIRIM,6828
22,CAJUEIRO,6718
29,COELHOS,6706
70,PEIXINHOS,6382
85,SOLEDADE,6354
72,POCO,6227
45,HIPODROMO,5430
35,DERBY,5416
83,SAO JOSE,5304
48,ILHA DO RETIRO,5184
20,CABANGA,4874
47,ILHA DO LEITE,4544
82,SANTO ANTONIO,3149
14,BOA VISTA,3014
36,DOIS IRMAOS,2173
8,APIPUCOS,1878
69,PAU FERRO,1611
66,PAISSANDU,925
76,RECIFE,537
