Project Id;Region;Country;Project Status;project_name;Project Development Objective;Implementing Agency;Consultant Services Required;Project URL;Board Approval Date;Project Closing Date;Financing Type;Current Project Cost
P172256;East Asia and Pacific;Republic of Indonesia;Active;Development of Pumped Storage Hydropower in Java Bali System Project;"The objective of the Project is to support Indonesia’s energy transition and decarbonization goal by: (i) developing the first large -scale pumped storage hydropower to improve power generation peaking and storage capacity of the Java-Bali grid; and (ii) strengthen ing PLN’s capacity for hydropower development and management.";PT Perusahaan Listrik Negara (PLN);Yes;https://projects.worldbank.org/en/projects-operations/project-detail/P172256;2021-09-10T00:00:00Z;;;0
P174097;Africa East;Republic of South Africa;Active;Wildlife Conservation Bond Operation;To increase black rhino populations in target protected areas in South Africa.;South African National Parks (SANParks), The Eastern Cape Parks and Tourism Agency (ECPTA);;https://projects.worldbank.org/en/projects-operations/project-detail/P174097;2021-09-10T00:00:00Z;;;0
P176997;Africa East;Federal Democratic Republic of Ethiopia;Active;ADDITIONAL FINANCING FOR STRENGTHEN ETHIOPIA’S ADAPTIVE SAFETY NET PROJECT;The Project development objectives are (a) to expand geographic coverage  and enhance service delivery of Ethiopia’s adaptive rural safety net to improve the well-being of extremely poor and vulnerable households in drought prone communities, and (b) in case of an  Eligible Early Response Financing Event (“Eligible ERF Event”), respond promptly and effectively to it.;Ministry of Agriculture;;https://projects.worldbank.org/en/projects-operations/project-detail/P176997;2021-09-10T00:00:00Z;;;0
P174812;Latin America and Caribbean;Republic of Peru;Active;Transmission Investment Plan (PIT) to support Post-COVID-19 Green Economic Recovery in Peru;To increase electricity availability and reliability in selected areas of Peru and support the modernization of the power sector reg ulatory framework.;Ministry of Energy and Mines;TBD;https://projects.worldbank.org/en/projects-operations/project-detail/P174812;2021-09-09T00:00:00Z;;;0
P169669;East Asia and Pacific;Lao People's Democratic Republic;Active;Enhancing Systematic Land Registration Project;The objective of the project is to support the Government of Lao PDR in improving tenure security and land administration services i n selected areas, and to provide immediate and effective response in case of an eligible crisis or emergency.;Ministry of Natural Resources and Environment;;https://projects.worldbank.org/en/projects-operations/project-detail/P169669;2021-09-02T00:00:00Z;2026-09-30T00:00:00Z;;0
P167132;Latin America and Caribbean;Republic of Guatemala;Active;Guatemala Emissions Reduction Program;To make payments to the Program Entity for measured, reported and verified Emission Reductions (ER) from reduced deforestation and f orest degradation, as well as the enhancement of forest carbon stocks (REDD+) in targeted areas of Guatemala, and to ensure that pai d amounts are distributed according to an agreed Benefit Sharing Plan (BSP).;Ministry of Public Finance;TBD;https://projects.worldbank.org/en/projects-operations/project-detail/P167132;2021-08-31T00:00:00Z;;;0
P171517;East Asia and Pacific;Republic of the Marshall Islands;Active;Digital Republic of the Marshall Islands Project;To expand access to the internet, promote private sector investment in climate resilient digital infrastructure, and establish the c ritical foundations for digital government services and the digital economy in the Recipient’s territory.;Ministry of Finance, Banking and Postal Services, Ministry of Transport, Communications and Information Technology, Ministry of Culture and Internal Affairs - Gender Development Office;;https://projects.worldbank.org/en/projects-operations/project-detail/P171517;2021-08-31T00:00:00Z;2028-08-31T00:00:00Z;;0
P175464;Middle East and North Africa;Republic of Djibouti;Active;Expanding Opportunities for Learning Additional Financing (GPE);The project development objective is to increase equitable access to basic education, improve teaching practices, and strengthen MEN FOP's management capacity.;Ministry of Education and Vocational Training;;https://projects.worldbank.org/en/projects-operations/project-detail/P175464;2021-08-31T00:00:00Z;;;0
P176094;East Asia and Pacific;Solomon Islands;Active;Community Access and Urban Services Enhancement Project Additional Financing;To improve basic infrastructure and services for vulnerable urban populations in targeted urban centers of the Recipient.;Ministry of Infrastructure Development, Honiara City Council;TBD;https://projects.worldbank.org/en/projects-operations/project-detail/P176094;2021-08-31T00:00:00Z;;;0
P171933;Africa West;Republic of Ghana;Active;Ghana Landscape Restoration and Small Scale Mining Project;to strengthen integrated natural resource management and increase benefits to communities in targeted savannah and cocoa forest land scapes;Environmental Protection Agency, Ministry of Lands and Natural Resources;;https://projects.worldbank.org/en/projects-operations/project-detail/P171933;2021-08-30T00:00:00Z;2027-09-30T00:00:00Z;;0
P172386;Africa West;Republic of Ghana;Active;Landscape Restoration and Ecosystem Management for Sustainable Food Systems Project  GE;to strengthen integrated natural resource management and increase benefits to communities in targeted savannah and cocoa forest land scapes;Environmental Protection Agency, Ministry of Lands and Natural Resources;;https://projects.worldbank.org/en/projects-operations/project-detail/P172386;2021-08-30T00:00:00Z;;;0
P174329;Africa East;Republic of Malawi;Active;Malawi Education Reform Program Project;The Project Development Objective is to improve learning environments for students in lower primary in Government schools.;Ministry of Education;;https://projects.worldbank.org/en/projects-operations/project-detail/P174329;2021-08-27T00:00:00Z;2025-12-31T00:00:00Z;;0
P172674;Africa West;Republic of Togo;Active;Togo, Improving Quality and Equity of Basic Education Project;"The Project Development Objectives (PDO) are to improve the quality of, and equitable access to, basic education in selected regions , particularly for girls; and strengthen the overall management of the education system";Ministry of Primary, Secondary, and Technical Education and Handicraft - MEPSTA;;https://projects.worldbank.org/en/projects-operations/project-detail/P172674;2021-08-26T00:00:00Z;2026-10-26T00:00:00Z;;0
P172504;Africa West;Republic of Chad;Active;Health System Performance Strengthening Project;The Project Development Objective is to improve the utilization and quality of service delivery of essential health services with a particular focus on reproductive, maternal, child and adolescent health, and nutrition services for the population of Chad in projec t-supported areas;Ministry of Health and National Solidarity;TBD;https://projects.worldbank.org/en/projects-operations/project-detail/P172504;2021-08-06T00:00:00Z;2026-12-31T00:00:00Z;;0
P175614;Africa West;Republic of Chad;Active;Climate Resilient Agriculture and Productivity Enhancement Project (PROPAD) – Additional Financing;The proposed Project Development Objective (PDO) is to “to promote the adoption of improved technologies leading to increased produc tivity and to enhance the climate resilience of agricultural production systems in the areas targeted by the Project”.;Ministry of Agriculture, Irrigation and Agricultural Equipment, West and Central African Council for Agricultural Research and Development (CORAF/WECARD);;https://projects.worldbank.org/en/projects-operations/project-detail/P175614;2021-08-06T00:00:00Z;;;0
P175751;Africa East;Eastern Africa;Active;Additional Financing for the Southern Africa Trade and Transport Facilitation (Phase 2) Project;The objective of the Southern Africa Trade and Transport Facilitation Program - Phase 2 is to facilitate the movement of goods and people along the North-South Corridor and at the key border crossings in Malawi, whilst supporting improvements in road safety and health services along the corridor.;Roads Authority, Ministry of Transport and Public Works;Yes;https://projects.worldbank.org/en/projects-operations/project-detail/P175751;2021-08-06T00:00:00Z;;;0
P175987;Africa West;Gabonese Republic;Active;Digital Gabon Project;To enhance adoption of select digitalized public services and increase the number of persons with a legal identity credential that f acilitates their access to services.;Ministry of Communications and Digital Economy;Yes;https://projects.worldbank.org/en/projects-operations/project-detail/P175987;2021-07-30T00:00:00Z;2026-06-30T00:00:00Z;;0
P172834;South Asia;Islamic Republic of Pakistan;Active;Sindh Early Learning Enhancement through Classroom Transformation;To improve reading skills of early grade primary students and increase student retention in primary schools in selected districts.;SCHOOL EDUCATION AND LITERACY DEPARTMENT, GOVERNMENT OF SINDH;;https://projects.worldbank.org/en/projects-operations/project-detail/P172834;2021-07-29T00:00:00Z;2026-04-30T00:00:00Z;;0
P176630;Africa East;Republic of Angola;Active;Angola COVID-19 Strategic Preparedness And Response Project;The Project Development Objective (PDO) is to prevent, detect and respond to the threat posed by COVID-19 and strengthen national sy stems for public health preparedness in Angola.;Angola Ministry of Health;;https://projects.worldbank.org/en/projects-operations/project-detail/P176630;2021-07-29T00:00:00Z;2023-07-31T00:00:00Z;;0
P161316;Latin America and Caribbean;St. Lucia;Active;Renewable Energy Sector Development Project;The development objective is to inform the Government of Saint Lucia on the viability of its geothermal resource for power generatio n and strengthen the enabling environment to scale-up clean energy investments with the private sector.;Ministry of Infrastructure, Ports, Energy and Labour;;https://projects.worldbank.org/en/projects-operations/project-detail/P161316;2021-07-28T00:00:00Z;2025-12-31T00:00:00Z;;0
P176013;Middle East and North Africa;Lebanese Republic;Active;Building Beirut Businesses Back & Better (B5) Fund;The Project Development Objective is to support the recovery of targeted micro and small enterprises (MSEs) and sustain the operatio ns of eligible microfinance institutions (MFIs).;Kafalat SAL;Yes;https://projects.worldbank.org/en/projects-operations/project-detail/P176013;2021-07-28T00:00:00Z;;;0
P171238;Africa West;Islamic Republic of Mauritania;Active;Mauritania 2nd Second Private Sector, Digital, and Human Capital Reform DPF;The Program Development Objectives are to strengthen the business environment and accelerate the development of digital broadband se rvices, while boosting climate resilience and human capital for private sector led growth;Ministry of Economic Affairs and Promotion of Productive Sectors;;https://projects.worldbank.org/en/projects-operations/project-detail/P171238;2021-07-22T00:00:00Z;;;0
P171216;East Asia and Pacific;Socialist Republic of Vietnam;Active;Ho Chi Minh City Development Policy Operation - 2;"This is the second operation of the DPO series to support HCMC to strengthen institutional foundations for sustainable urban develop ment. Specifically, the development objectives of the series are to contribute to (i) Integrated and transparent spatial information  for urban management; (ii) Strengthened management of public assets and liabilities; and (iii) Enhanced delivery of priority munici pal services.";The People's Committee of Ho Chi Minh City;;https://projects.worldbank.org/en/projects-operations/project-detail/P171216;2021-06-29T00:00:00Z;2023-03-30T00:00:00Z;;0
P174786;Latin America and Caribbean;Republic of Costa Rica;Active;Costa Rica Second Fiscal and Decarbonization Management DPL;"The Program Development Objective of this DPL is to support Costa Rica's program to: (i) protect people’s income and jobs from the i mpact of COVID-19 and foster small and medium enterprise recovery; (ii) reinforce fiscal sustainability in the aftermath of COVID-19 ; and (iii) lay out the foundations for a strong post-COVID-19 recovery by promoting green growth and low-carbon development.";Ministry of Finance, Ministry of Environment and Energy (MINAE);;https://projects.worldbank.org/en/projects-operations/project-detail/P174786;2021-06-29T00:00:00Z;2022-06-30T00:00:00Z;;0
P176447;South Asia;Republic of India;Active;Creating a Coordinated and Responsive Indian Social Protection System (CCRISP);The  Development Objective of the proposed operation is to strengthen the capability of the state and national governments in India to respond to the needs of informal workers through a resilient and coordinated social protection system.;Department of Economic Affairs (DEA), Ministry of Finance;;https://projects.worldbank.org/en/projects-operations/project-detail/P176447;2021-06-29T00:00:00Z;2022-12-31T00:00:00Z;;0
