ano;justica;sigla;dsc_tribunal;uf_sede;uf_abrangida;dpj
2019;Militar Estadual;TJMRS;TJM - Rio Grande do Sul;RS;Rio Grande do Sul;30239704,21
2019;Eleitoral;TRE-RR;TRE - Roraima;RR;Roraima;43894916,80
2019;Eleitoral;TRE-AP;TRE - Amapá;AP;Amapá;55299604,18
2019;Militar Estadual;TJMMG;TJM - Minas Gerais;MG;Minas Gerais;57550430,40
2019;Eleitoral;TRE-AC;TRE - Acre;AC;Acre;72288904,60
2019;Militar Estadual;TJMSP;TJM - São Paulo;SP;São Paulo;74156576,54
2019;Eleitoral;TRE-RO;TRE - Rondônia;RO;Rondônia;94731878,76
2019;Eleitoral;TRE-TO;TRE - Tocantins;TO;Tocantins;99466160,94
2019;Eleitoral;TRE-SE;TRE - Sergipe;SE;Sergipe;100373419,55
2019;Eleitoral;TRE-DF;TRE - Distrito Federal;DF;Distrito Federal;106399706,62
2019;Eleitoral;TRE-AL;TRE - Alagoas;AL;Alagoas;117759642,44
2019;Eleitoral;TRE-MS;TRE - Mato Grosso do Sul;MS;Mato Grosso do Sul;119056638,82
2019;Eleitoral;TRE-ES;TRE - Espírito Santo;ES;Espírito Santo;126804198,12
2019;Eleitoral;TRE-RN;TRE - Rio Grande do Norte;RN;Rio Grande do Norte;143385347,95
2019;Eleitoral;TRE-MT;TRE - Mato Grosso;MT;Mato Grosso;148742730,33
2019;Eleitoral;TRE-AM;TRE - Amazonas;AM;Amazonas;155518730,80
2019;Trabalho;TRT22;TRT 22ª Região;PI;Piauí;157176856,51
2019;Eleitoral;TRE-PB;TRE - Paraíba;PB;Paraíba;166022884,89
2019;Trabalho;TRT20;TRT 20ª Região;SE;Sergipe;194336857,40
2019;Eleitoral;TRE-PI;TRE - Piauí;PI;Piauí;195675291,67
2019;Eleitoral;TRE-GO;TRE - Goiás;GO;Goiás;210103008,74
2019;Eleitoral;TRE-PA;TRE - Pará;PA;Pará;210827915,22
2019;Eleitoral;TRE-MA;TRE - Maranhão;MA;Maranhão;215921121,45
